,RoomCount,Floor,Size(m2),Age,District,Price(TL)
2937,5,4.0,175.0,7.5,Etimesgut,7912500
2938,4,3.0,145.0,13.0,Etimesgut,4335000
2939,6,4.0,180.0,7.5,Etimesgut,4695000
2941,2,8.0,55.0,7.5,Etimesgut,3900000
2942,4,2.0,150.0,20.0,Etimesgut,2677500
2943,3,1.0,110.0,20.0,Etimesgut,1762500
2944,3,12.0,175.0,3.0,Etimesgut,9225000
2945,4,1.0,118.0,7.5,Etimesgut,2850000
2946,5,7.0,194.0,7.5,Etimesgut,4500000
2947,4,4.0,118.0,7.5,Etimesgut,2962500
2948,2,1.0,60.0,7.5,Etimesgut,3150000
2949,4,1.0,130.0,13.0,Etimesgut,3435000
2951,4,4.0,200.0,13.0,Etimesgut,5325000
2953,4,2.0,135.0,13.0,Etimesgut,3892500
2954,4,4.0,145.0,20.0,Etimesgut,2625000
2955,4,1.0,125.0,20.0,Etimesgut,4005000
2956,2,1.0,60.0,7.5,Etimesgut,2835000
2957,4,2.0,110.0,18.0,Etimesgut,2580000
2958,5,3.0,250.0,13.0,Etimesgut,3373500
2959,4,0.0,120.0,7.5,Etimesgut,3000000
2960,3,14.0,120.0,2.0,Etimesgut,5775000
2962,4,1.0,125.0,13.0,Etimesgut,3432000
2964,4,1.0,125.0,13.0,Etimesgut,2773500
2965,6,3.0,250.0,18.0,Etimesgut,3435000
2966,5,2.0,180.0,0.0,Etimesgut,9000000
2967,4,1.0,120.0,7.5,Etimesgut,3967500
2968,4,3.0,135.0,7.5,Etimesgut,2833500
2969,2,2.0,50.0,20.0,Etimesgut,2512500
2970,4,2.0,100.0,20.0,Etimesgut,3075000
2971,5,2.0,175.0,0.0,Etimesgut,8985000
2972,2,1.0,70.0,7.5,Etimesgut,2617500
2973,4,1.0,130.0,2.0,Etimesgut,4425000
2974,4,1.0,110.0,13.0,Etimesgut,2775000
2975,4,4.0,120.0,20.0,Etimesgut,4123500
2976,5,9.0,200.0,0.0,Etimesgut,7035000
2977,3,1.0,115.0,0.0,Etimesgut,3375000
2978,3,14.0,85.0,20.0,Etimesgut,3300000
2979,4,2.0,135.0,7.5,Etimesgut,2983500
2980,6,3.0,300.0,13.0,Etimesgut,4275000
2981,4,-1.0,134.0,13.0,Etimesgut,3225000
2982,4,6.0,180.0,7.5,Etimesgut,5625000
2983,4,1.0,160.0,0.0,Etimesgut,5625000
2984,4,3.0,140.0,4.0,Etimesgut,4123500
2985,4,1.0,140.0,7.5,Etimesgut,4425000
2986,5,8.0,220.0,0.0,Etimesgut,9000000
2987,5,1.0,185.0,13.0,Etimesgut,5700000
2988,3,1.0,125.0,7.5,Etimesgut,4575000
2989,4,3.0,149.0,13.0,Etimesgut,4198500
2990,4,1.0,120.0,13.0,Etimesgut,2775000
2991,4,1.0,120.0,13.0,Etimesgut,2872500
2992,4,3.0,145.0,7.5,Etimesgut,3937500
2993,3,4.0,95.0,4.0,Etimesgut,3885000
2994,4,9.0,140.0,1.0,Etimesgut,6382500
2995,4,1.0,110.0,20.0,Etimesgut,2925000
2996,4,1.0,118.0,13.0,Etimesgut,2623500
2997,5,15.0,200.0,13.0,Etimesgut,8475000
2998,4,2.0,130.0,3.0,Etimesgut,3262500
2999,4,5.0,150.0,0.0,Etimesgut,6750000
3000,5,8.0,180.0,7.5,Etimesgut,8812500
3001,4,1.0,130.0,18.0,Etimesgut,3750000
3002,3,0.0,110.0,0.0,Etimesgut,3825000
3003,5,2.0,210.0,7.5,Etimesgut,10050000
3004,4,11.0,140.0,18.0,Etimesgut,5773500
3005,4,1.0,120.0,13.0,Etimesgut,3598500
3007,4,7.0,110.0,7.5,Etimesgut,3840000
3008,6,3.0,220.0,13.0,Etimesgut,4267500
3010,4,2.0,130.0,7.5,Etimesgut,3547500
3012,3,1.0,135.0,7.5,Etimesgut,2505000
3013,5,25.0,200.0,4.0,Etimesgut,9750000
3015,6,3.0,330.0,7.5,Etimesgut,5400000
3017,6,3.0,250.0,3.0,Etimesgut,5925000
3018,4,2.0,120.0,13.0,Etimesgut,2998500
3019,3,4.0,95.0,13.0,Etimesgut,2998500
3020,4,2.0,130.0,20.0,Etimesgut,2355000
3021,3,3.0,95.0,0.0,Etimesgut,4573500
3022,5,10.0,180.0,7.5,Etimesgut,8677500
3023,3,4.0,120.0,13.0,Etimesgut,2250000
3024,4,1.0,150.0,0.0,Etimesgut,5670000
3025,5,3.0,160.0,7.5,Etimesgut,3748500
3026,4,3.0,165.0,0.0,Etimesgut,6520500
