RoomCount,Floor,Size(m2),Age,District,Price(TL)
4,1.0,140.0,0.0,Altındağ,3180000
4,-1.0,120.0,2.0,Altındağ,2700000
4,0.0,120.0,2.0,Altındağ,2490000
4,-1.0,105.0,13.0,Altındağ,2625000
2,-2.0,65.0,20.0,Altındağ,1162500
4,3.0,140.0,7.5,Altındağ,2670000
4,-1.0,120.0,13.0,Altındağ,1890000
4,1.0,135.0,13.0,Altındağ,2362500
4,5.0,185.0,7.5,Altındağ,6150000
4,2.0,125.0,13.0,Altındağ,2775000
4,1.0,125.0,1.0,Altındağ,2475000
4,6.0,125.0,1.0,Altındağ,3225000
4,1.0,145.0,7.5,Altındağ,2625000
4,2.0,140.0,4.0,Altındağ,3075000
4,-1.0,115.0,13.0,Altındağ,1650000
4,1.0,120.0,13.0,Altındağ,2182500
5,3.0,200.0,7.5,Altındağ,4200000
4,1.0,130.0,13.0,Altındağ,2250000
4,8.0,140.0,4.0,Altındağ,5287500
6,5.0,160.0,7.5,Altındağ,4125000
4,5.0,155.0,3.0,Altındağ,4800000
4,2.0,160.0,7.5,Altındağ,3225000
4,-1.0,135.0,7.5,Altındağ,2085000
5,4.0,160.0,13.0,Altındağ,2625000
4,2.0,119.0,7.5,Altındağ,2842500
4,1.0,135.0,7.5,Altındağ,2248500
4,-1.0,130.0,7.5,Altındağ,1875000
5,9.0,218.0,4.0,Altındağ,6150000
4,1.0,145.0,3.0,Altındağ,2623500
4,3.0,130.0,7.5,Altındağ,2625000
4,0.0,125.0,13.0,Altındağ,1927500
4,1.0,130.0,2.0,Altındağ,3450000
4,2.0,135.0,2.0,Altındağ,3150000
4,2.0,135.0,3.0,Altındağ,3150000
4,5.0,145.0,2.0,Altındağ,3135000
4,3.0,130.0,7.5,Altındağ,2805000
4,2.0,110.0,13.0,Altındağ,2775000
4,8.0,150.0,7.5,Altındağ,3000000
3,-3.0,100.0,13.0,Altındağ,2055000
4,3.0,130.0,7.5,Altındağ,3180000
5,11.0,166.0,13.0,Altındağ,2437500
5,1.0,172.0,3.0,Altındağ,4485000
4,1.0,125.0,7.5,Altındağ,2317500
4,12.0,135.0,13.0,Altındağ,3075000
4,9.0,170.0,0.0,Altındağ,3750000
3,1.0,110.0,7.5,Altındağ,2070000
3,2.0,110.0,4.0,Altındağ,3420000
